Struktur;OZ;Kurz-Info;Kurztext alt;Massen;Einheiten;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
; 1.;;Gebäude Grundausbau;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
; 1. 1.;;KG410 Abwasser-, Wasseranlagen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
; 1. 1. 1.;;KG411 Abwasseranlagen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1,05;0,88
; 1. 1. 1.  10. ;;PE-Rohr  Wavin DN70 einschl. Formstücke;10;m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1,04;0,91
; 1. 1. 1.  20. ;;PP-ASPlus-Rohr  DN100 einschl. Formstücke;118;m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
; 1. 1. 1.  30. ;;PP-ASPlus-Rohr  DN125 einschl. Formstücke;110;m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
; 1. 1. 1.  40. ;;PP-ASPlus-Rohr DN150 einschl. Formstücke;50;m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
; 1. 1. 1.  50. ;;PE-Rohr Wavin DN100 einschl. Formstücke;41;m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
; 1. 1. 1.  60. ;;Grundleitung KG-Rohr DN100 einschl. Formstücke;154;m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
; 1. 1. 1.  70. ;;Grundleitung KG-Rohr DN125 einschl. Formstücke;1;m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
; 1. 1. 1.  80. ;;Grundleitung KG-Rohr DN150 einschl. Formstücke;4,5;m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
; 1. 1. 1.  90. ;;SML-Rohr DN125 einschl. Formstücke;27;m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
; 1. 1. 1. 100. ;;Isolierung Schmutzwasser DN100-150;54;m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
; 1. 1. 1. 110. ;;Brandschutz SW;8;Stk;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
; 1. 1. 1. 120. ;;Brandschutz SW-Leitung;1;psch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
